city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes,candidate_score
hamburg-hamburg,Gilde Bowling 44,activity,bowling_alley,{bowling},"{date,friends}","{date,friends}",53.5576262,9.9006131,,,,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:bowling,23
hamburg-hamburg,U.S. FUN Bowling,activity,bowling_alley,{bowling},"{date,friends}","{date,friends}",53.5746678,10.0356297,,,,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:bowling,23
hamburg-hamburg,Alstereck VfW e.V.,activity,sports_centre,{bowling},"{date,friends}","{date,friends}",53.6326364,10.0335546,,,https://www.alstereck.de/,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:bowling,11
hamburg-hamburg,Crazy Minigolf - Hammer Park,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",53.5591321,10.0597659,,,https://www.crazy-minigolf.de/,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:minigolf,23
hamburg-hamburg,Minigolf by Café Blomen,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",53.5525331,9.972155,,,https://plantenunblomen.hamburg.de/minigolf-trampolin/,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:minigolf,23
hamburg-hamburg,miniGOLF Hamburg Horn,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",53.5606291,10.0846519,,,https://www.minigolfplatz.com/,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:minigolf,23
hamburg-hamburg,Boulderwelt Hamburg,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",53.5540145,10.0208859,,,https://www.boulderwelt-hamburg.de/,,medium,indoor,high,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:climbing,23
hamburg-hamburg,urban apes Boulderquartier Hamburg,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",53.5773556,10.080113,,,https://www.urbanapes.de/hamburg-ost/,,medium,indoor,high,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:climbing,23
hamburg-hamburg,DAV Kletterzentrum,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",53.5971843,9.952804,,,,,medium,indoor,high,false,false,120,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:climbing,23
hamburg-hamburg,Lasertag Harburg,activity,sports_centre,{lasertag},{friends},{friends},53.4517863,9.9858554,,,http://lasertagharburg.de/,,medium,indoor,high,false,false,90,9,0.90,manual_seed,hamburg_auto_candidates_v1,auto_candidate:lasertag,23
