city_slug,name,category,type,subtypes,audiences,occasions,lat,lng,address,website,reservation_url,price_level,budget,indoor_outdoor,energy_level,family_friendly,nightlife_fit,duration_min,manual_boost,data_confidence,source_primary,import_batch,notes,candidate_score
berlin-berlin,Amano Dachterrasse,nightlife,bar,"{rooftop,rooftop_bar,cocktail_bar}","{date,friends,party,tourism}","{date,friends,party,tourism}",52.5282705,13.4028383,,,,,medium,mixed,medium,false,true,120,13,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:rooftop,15
berlin-berlin,Quinti Brunch & Bar,nightlife,bar,"{rooftop,rooftop_bar,cocktail_bar}","{date,friends,party,tourism}","{date,friends,party,tourism}",52.486138,13.4349794,,,,,medium,mixed,medium,false,true,120,13,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:rooftop,11
berlin-berlin,American Bowl Berlin,activity,bowling_alley,{bowling},"{date,friends}","{date,friends}",52.5418593,13.5417833,,,https://american-bowl-berlin.de/,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:bowling,15
berlin-berlin,Berolina Bowling Lounge,activity,bowling_alley,{bowling},"{date,friends}","{date,friends}",52.5008861,13.3514092,,,https://berolina-bowling.de/,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:bowling,15
berlin-berlin,Big Bowl,activity,bowling_alley,{bowling},"{date,friends}","{date,friends}",52.5207095,13.4975678,,,https://big-bowl-berlin.de/,,medium,indoor,medium,false,false,90,10,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:bowling,15
berlin-berlin,Minigolf am Gemeindepark,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",52.4330102,13.3521774,,,https://www.minigolf-lankwitz.de/,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:minigolf,15
berlin-berlin,Minigolf am Insulaner,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",52.4583177,13.3515019,,,https://www.minigolf-insulaner.de/,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:minigolf,15
berlin-berlin,3D-Minigolf,activity,miniature_golf,{minigolf},"{date,friends,family}","{date,friends,family}",52.4552548,13.3879711,,,,,medium,mixed,medium,true,false,75,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:minigolf,15
berlin-berlin,Boulderworx,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",52.4869489,13.3182979,,,https://www.boulderworx.de/,,medium,indoor,high,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:climbing,15
berlin-berlin,DAV Kletterzentrum Berlin,activity,sports_centre,{climbing},"{date,friends}","{date,friends}",52.5285947,13.3624335,,,https://dav-berlin.de/klettern/kletterzentrum/,,medium,indoor,high,false,false,120,9,0.90,manual_seed,berlin_auto_candidates_v1,auto_candidate:climbing,15
